
110 (Harbor Freeway)
33.752437°, -118.291°    
33.755149°, -118.291177°
33.757488°, -118.290275°
33.76297°, -118.284363°
33.761744°, -118.286373°
33.770825°, -118.280155°
33.773234°, -118.279917°
33.79025°, -118.281832°
33.790402°, -118.282126°
33.79025°, -118.281832°
33.801445°, -118.288808°
33.801442°, -118.289031°
33.807158°, -118.287903°
33.810825°, -118.287492°
33.837692°, -118.287269°
33.846167°, -118.284817°
33.85795°, -118.284527°
33.862851°, -118.285075°
33.87696°, -118.28516°
33.882526°, -118.284834°
33.884171°, -118.285091°
33.894141°, -118.285589°
33.897861°, -118.286719°
33.915108°, -118.286488°
33.917732°, -118.284921°
33.921247°, -118.28187°
33.923505°, -118.281447°
33.937825°, -118.279669°
33.945587°, -118.279524°
33.948663°, -118.279707°
33.954261°, -118.280871°
33.980798°, -118.280929°
33.989184°, -118.280524°
34.002727°, -118.281001°
34.016615°, -118.280831°
34.022953°, -118.27678°
34.02358°, -118.277002°
34.027639°, -118.274414°
34.028321°, -118.274276°
34.03383°, -118.274502°
34.04104°, -118.273612°
34.044024°, -118.272106°
34.04395°, -118.271959°
34.047213°, -118.26763°
34.053421°, -118.258459°
34.053421°, -118.258459°
34.056606°, -118.2554°
34.059863°, -118.252115°
34.064084°, -118.247189°
34.065117°, -118.24431°
34.065751°, -118.242269°
34.067676°, -118.238416°
34.070361°, -118.235868°
34.073477°, -118.234091°
34.075172°, -118.2324°
34.077102°, -118.231796°
34.079273°, -118.22744°
34.082026°, 34.082026°
34.083727°, -118.221242°
34.084911°, -118.218884°
34.086042°, -118.21508°
34.086874°, -118.211024°
34.087746°, -118.210053°
34.089275°, -118.208213°
34.09194°, -118.206496°
34.09425°, -118.206196°
34.098799°, -118.203278°
34.101571°, -118.200574°
34.103019°, -118.19652°
34.102957°, -118.192978°
34.103774°, -118.191304°
34.108607°, -118.18521°
34.110952°, -118.184438°
34.111556°, -118.182807°
34.111236°, -118.18049°
34.113226°, -118.176541°
34.114292°, -118.173709°
34.117489°, -118.169503°
34.119301°, -118.161392°
34.119088°, -118.157015°
34.119337°, -118.148947°
34.120119°, -118.147101°
34.122108°, -118.145943°
34.1236°, -118.146029°
34.126158°, -118.147058°
34.127437°, -118.14723°
34.137845°, -118.147402°
34.145695°, -118.147573°
